settlingTime,unsettled,overshoot,overshootTime,crossCount,riseTime,Kp,Kd,J
14.8,0,-1.0052331100092644,15.700000000000001,1,11.9,0.05,0.2,10000.0
14.8,0,-1.0390715354350917,15.700000000000001,1,12.0,0.05,0.2,10200.0
12.9,0,-1.1257350937910573,13.8,1,12.3,0.05,0.2,19000.0
13.200000000000001,0,-1.1406802455419438,14.100000000000001,1,12.600000000000001,0.05,0.2,20000.0
16.0,0,-1.0327808145196897,16.900000000000002,1,12.700000000000001,0.05,0.22,10000.0
16.0,0,-1.0324877733305016,16.900000000000002,1,12.700000000000001,0.05,0.22,10200.0
16.0,0,-1.0490089776981009,16.900000000000002,1,12.8,0.05,0.22,10400.0
16.1,0,-1.0320969572941863,17.0,1,12.8,0.05,0.22,10600.0
16.1,0,-1.0011950363865623,17.0,1,12.8,0.05,0.22,10800.0
16.1,0,-1.0371103336699434,17.0,1,12.9,0.05,0.22,11000.0
16.2,0,-1.0366639282810652,17.1,1,12.9,0.05,0.22,11200.0
14.4,0,-1.1331518690002795,15.3,1,13.700000000000001,0.05,0.22,23800.0
14.200000000000001,0,-1.0567995297052377,15.100000000000001,1,11.5,0.0526,0.2,10000.0
14.3,0,-1.0222205840685277,15.200000000000001,1,11.600000000000001,0.0526,0.2,10200.0
14.4,0,-1.0054984925214399,15.3,1,11.600000000000001,0.0526,0.2,10400.0
14.3,0,-1.0056257306982204,15.200000000000001,1,11.5,0.0526,0.2,10600.0
14.3,0,-1.0535009244439308,15.200000000000001,1,11.600000000000001,0.0526,0.2,10800.0
14.4,0,-1.0215258434792318,15.3,1,11.700000000000001,0.0526,0.2,11000.0
14.3,0,-1.0214599527457153,15.200000000000001,1,11.5,0.0526,0.2,11200.0
12.600000000000001,0,-1.0422842935248866,13.5,1,12.0,0.0526,0.2,18000.0
15.5,0,-1.0157066250321307,16.400000000000002,1,12.3,0.0526,0.22,10000.0
15.5,0,-1.0160291164431356,16.400000000000002,1,12.3,0.0526,0.22,10200.0
15.600000000000001,0,-1.0173029207552133,16.5,1,12.4,0.0526,0.22,10400.0
15.5,0,-1.0218379950258694,16.400000000000002,1,12.4,0.0526,0.22,10600.0
15.600000000000001,0,-1.0057423416700288,16.5,1,12.4,0.0526,0.22,10800.0
15.600000000000001,0,-1.0527365120047847,16.5,1,12.5,0.0526,0.22,11000.0
15.7,0,-1.0059699554085881,16.6,1,12.600000000000001,0.0526,0.22,11200.0
15.8,0,-1.021156155750127,16.7,1,12.600000000000001,0.0526,0.22,11400.0
15.7,0,-1.0210001619958575,16.6,1,12.600000000000001,0.0526,0.22,11600.0
15.7,0,-1.0499851674951728,16.6,1,12.600000000000001,0.0526,0.22,11800.0
15.8,0,-1.0493616824190681,16.7,1,12.700000000000001,0.0526,0.22,12000.0
15.8,0,-1.006483596448689,16.7,1,12.600000000000001,0.0526,0.22,12200.0
15.8,0,-1.0343244790040629,16.7,1,12.700000000000001,0.0526,0.22,12400.0
13.8,0,-1.008574384120287,14.700000000000001,1,13.100000000000001,0.0526,0.22,21400.0
13.8,0,-1.011790206428472,14.700000000000001,1,13.100000000000001,0.0526,0.22,21600.0
16.6,0,-1.0155465684084675,17.5,1,13.0,0.0526,0.24,10000.0
16.7,0,-1.0154791556225717,17.6,1,13.100000000000001,0.0526,0.24,10200.0
16.7,0,-1.0154176384120674,17.6,1,13.100000000000001,0.0526,0.24,10400.0
16.7,0,-1.0153640233885213,17.6,1,13.100000000000001,0.0526,0.24,10600.0
16.7,0,-1.0312495331711702,17.6,1,13.200000000000001,0.0526,0.24,10800.0
16.8,0,-1.0153795238621015,17.7,1,13.200000000000001,0.0526,0.24,11000.0
16.8,0,-1.0153211130129804,17.7,1,13.200000000000001,0.0526,0.24,11200.0
16.900000000000002,0,-1.0005385849788055,17.8,1,13.3,0.0526,0.24,11400.0
16.8,0,-1.0209992468608249,17.7,1,13.3,0.0526,0.24,11600.0
16.900000000000002,0,-1.0062818329075824,17.8,1,13.4,0.0526,0.24,11800.0
16.900000000000002,0,-1.049350845694974,17.8,1,13.4,0.0526,0.24,12000.0
16.900000000000002,0,-1.006472937375861,17.8,1,13.4,0.0526,0.24,12200.0
15.0,0,-1.1246410082644474,15.9,1,14.200000000000001,0.0526,0.24,25600.0
15.0,0,-1.0997843835695988,15.9,1,14.200000000000001,0.0526,0.24,25800.0
15.2,0,-1.065237330045008,16.1,1,14.4,0.0526,0.24,26400.0
13.8,0,-1.0568029651232038,14.700000000000001,1,11.200000000000001,0.0552,0.2,10000.0
13.8,0,-1.0053715038112472,14.700000000000001,1,11.100000000000001,0.0552,0.2,10200.0
13.8,0,-1.0385653114354554,14.700000000000001,1,11.200000000000001,0.0552,0.2,10400.0
13.700000000000001,0,-1.0380661314195976,14.600000000000001,1,11.0,0.0552,0.2,10600.0
