settlingTime,unsettled,overshoot,overshootTime,crossCount,riseTime,Kp,Kd,J
14.9,0,-1.021171666892215,15.8,1,13.5,0.063,0.28,22000.0
14.0,0,-1.0946144388135224,14.9,1,13.200000000000001,0.0656,0.28,22000.0
14.9,0,-1.021171666892215,15.8,1,13.5,0.06820000000000001,0.3,22000.0
14.0,0,-1.0946144388135224,14.9,1,13.200000000000001,0.0708,0.3,22000.0
14.9,0,-1.021171666892215,15.8,1,13.5,0.07339999999999999,0.32,22000.0
14.0,0,-1.0946144388135224,14.9,2,13.200000000000001,0.076,0.32,22000.0
14.3,0,-1.1211788456786493,15.200000000000001,1,13.4,0.0786,0.33999999999999997,22000.0
14.3,0,-1.1211788456786493,15.200000000000001,1,13.4,0.0838,0.36,22000.0
14.9,0,-1.021171666892215,15.8,1,13.5,0.0864,0.38,22000.0
14.3,0,-1.1211788456786493,15.200000000000001,1,13.4,0.089,0.38,22000.0
14.9,0,-1.005545545206786,15.8,1,13.5,0.0916,0.39999999999999997,22000.0
14.3,0,-1.1211788456786493,15.200000000000001,1,13.4,0.0942,0.39999999999999997,22000.0
14.3,0,-1.1211788456786493,15.200000000000001,0,13.4,0.0968,0.42,22000.0
14.0,0,-1.0946144388135224,14.9,2,13.200000000000001,0.0994,0.42,22000.0
14.3,0,-1.1211788456786493,15.200000000000001,0,13.4,0.10200000000000001,0.43999999999999995,22000.0
14.0,0,-1.0789883171281431,14.9,2,13.200000000000001,0.1046,0.43999999999999995,22000.0
14.3,0,-1.1211788456786493,15.200000000000001,0,13.4,0.1072,0.45999999999999996,22000.0
14.0,0,-1.0789883171281431,14.9,2,13.200000000000001,0.10980000000000001,0.45999999999999996,22000.0
14.9,0,-1.005545545206786,15.8,1,13.5,0.10980000000000001,0.48,22000.0
14.3,0,-1.1211788456786493,15.200000000000001,0,13.4,0.1124,0.48,22000.0
14.9,0,-1.005545545206786,15.8,1,13.5,0.115,0.49999999999999994,22000.0
14.3,0,-1.1211788456786493,15.200000000000001,0,13.4,0.1176,0.49999999999999994,22000.0
14.3,0,-1.1211788456786493,15.200000000000001,0,13.4,0.1202,0.52,22000.0
14.0,0,-1.0789883171281431,14.9,2,13.200000000000001,0.1228,0.52,22000.0
14.9,0,-1.005545545206786,15.8,1,13.5,0.1228,0.54,22000.0
14.3,0,-1.1211788456786493,15.200000000000001,0,13.4,0.1254,0.54,22000.0
14.0,0,-1.0789883171281431,14.9,2,13.200000000000001,0.128,0.54,22000.0
14.9,0,-1.005545545206786,15.8,1,13.5,0.128,0.5599999999999999,22000.0
14.3,0,-1.1211788456786493,15.200000000000001,0,13.4,0.1306,0.5599999999999999,22000.0
14.0,0,-1.0789883171281431,14.9,2,13.200000000000001,0.13319999999999999,0.5599999999999999,22000.0
14.9,0,-1.005545545206786,15.8,1,13.5,0.13319999999999999,0.58,22000.0
14.3,0,-1.1211788456786493,15.200000000000001,0,13.4,0.1358,0.58,22000.0
14.0,0,-1.0789883171281431,14.9,2,13.200000000000001,0.1384,0.58,22000.0
14.9,0,-1.005545545206786,15.8,1,13.5,0.1384,0.5999999999999999,22000.0
14.0,0,-1.0789883171281431,14.9,2,13.200000000000001,0.14100000000000001,0.5999999999999999,22000.0
14.0,0,-1.0789883171281431,14.9,2,13.200000000000001,0.1436,0.5999999999999999,22000.0
