J,Kp,Kd
10200.0,0.06820000000000001,0.2
10200.0,0.076,0.22
10200.0,0.0812,0.24
10200.0,0.089,0.26
10200.0,0.10200000000000001,0.3
10200.0,0.1228,0.36
10200.0,0.1436,0.42
10200.0,0.15139999999999998,0.43999999999999995
10200.0,0.15660000000000002,0.45999999999999996
10200.0,0.1644,0.48
10200.0,0.1722,0.49999999999999994
10200.0,0.1774,0.52
10400.0,0.0812,0.24
10400.0,0.089,0.26
10400.0,0.0942,0.28
10400.0,0.10200000000000001,0.3
10400.0,0.1072,0.32
10400.0,0.1124,0.33999999999999997
10400.0,0.1202,0.36
10400.0,0.128,0.38
10400.0,0.13319999999999999,0.39999999999999997
10400.0,0.14100000000000001,0.42
10400.0,0.1462,0.43999999999999995
10400.0,0.154,0.45999999999999996
10400.0,0.1618,0.48
10400.0,0.16699999999999998,0.49999999999999994
10400.0,0.1748,0.52
10400.0,0.18,0.54
10600.0,0.18,0.54
10800.0,0.18,0.54
11000.0,0.0656,0.2
11000.0,0.0708,0.22
11000.0,0.0786,0.24
11000.0,0.0916,0.28
11000.0,0.1046,0.32
11000.0,0.1176,0.36
11000.0,0.1384,0.42
11000.0,0.15139999999999998,0.45999999999999996
11000.0,0.1644,0.49999999999999994
11000.0,0.1774,0.54
11200.0,0.0786,0.24
11200.0,0.0838,0.26
11200.0,0.0916,0.28
11200.0,0.0968,0.3
11200.0,0.1046,0.32
11200.0,0.10980000000000001,0.33999999999999997
11200.0,0.115,0.36
11200.0,0.1228,0.38
11200.0,0.128,0.39999999999999997
11200.0,0.1358,0.42
11200.0,0.14100000000000001,0.43999999999999995
11200.0,0.1488,0.45999999999999996
11200.0,0.154,0.48
11200.0,0.1618,0.49999999999999994
11200.0,0.16699999999999998,0.52
11200.0,0.1748,0.54
11200.0,0.18,0.5599999999999999
11400.0,0.063,0.2
11400.0,0.0708,0.22
11400.0,0.076,0.24
11400.0,0.0838,0.26
11400.0,0.0968,0.3
11400.0,0.10980000000000001,0.33999999999999997
11400.0,0.1358,0.42
11400.0,0.1488,0.45999999999999996
11400.0,0.1618,0.49999999999999994
11400.0,0.16699999999999998,0.52
11400.0,0.1748,0.54
11400.0,0.18,0.5599999999999999
11600.0,0.18,0.5599999999999999
11800.0,0.1774,0.5599999999999999
12000.0,0.063,0.2
12000.0,0.0812,0.26
12000.0,0.089,0.28
12000.0,0.0942,0.3
12000.0,0.0994,0.32
12000.0,0.1072,0.33999999999999997
12000.0,0.1124,0.36
12000.0,0.1176,0.38
12000.0,0.1254,0.39999999999999997
12000.0,0.1306,0.42
12000.0,0.1358,0.43999999999999995
12000.0,0.1436,0.45999999999999996
12000.0,0.1488,0.48
12000.0,0.15660000000000002,0.49999999999999994
12000.0,0.1618,0.52
12000.0,0.1696,0.54
12000.0,0.1748,0.5599999999999999
12000.0,0.18,0.58
12200.0,0.063,0.2
12200.0,0.06820000000000001,0.22
12200.0,0.076,0.24
12200.0,0.0812,0.26
12200.0,0.0864,0.28
12200.0,0.0942,0.3
12200.0,0.0994,0.32
12200.0,0.1124,0.36
